RACE,OFFENSE,0
AMER IND,"ASSAULT, FIRST DEGREE                 BF",1
AMER IND,"ASSAULT, THIRD DEGREE                 AM",1
AMER IND,"BURGLARY, THIRD DEGREE                DF",2
AMER IND,CRIM VIOL OF PROTECTIVE ORDER         DF,2
AMER IND,"FAILURE TO APPEAR, FIRST DEGREE       DF",3
AMER IND,"FAILURE TO APPEAR, SECOND DEGREE      AM",4
AMER IND,INJURY OR RISK OF INJURY TO MINOR      F,2
AMER IND,OTHERS,30
AMER IND,"ROBBERY, FIRST DEGREE                 BF",2
AMER IND,VIOLATION OF PROBATION OR COND DISCHG,3
ASIAN,"ASSAULT, FIRST DEGREE                 BF",1
ASIAN,"ASSAULT, THIRD DEGREE                 AM",4
ASIAN,"BURGLARY, THIRD DEGREE                DF",5
ASIAN,CRIM VIOL OF PROTECTIVE ORDER         DF,6
ASIAN,"FAILURE TO APPEAR, FIRST DEGREE       DF",1
ASIAN,"FAILURE TO APPEAR, SECOND DEGREE      AM",8
ASIAN,INJURY OR RISK OF INJURY TO MINOR      F,3
ASIAN,OTHERS,77
ASIAN,"ROBBERY, FIRST DEGREE                 BF",3
ASIAN,VIOLATION OF PROBATION OR COND DISCHG,12
BLACK,"ASSAULT, FIRST DEGREE                 BF",107
BLACK,"ASSAULT, THIRD DEGREE                 AM",199
BLACK,"BURGLARY, THIRD DEGREE                DF",140
BLACK,CRIM VIOL OF PROTECTIVE ORDER         DF,257
BLACK,CRIMINAL POSSESSION OF A PISTOL       DF,111
BLACK,"FAILURE TO APPEAR, FIRST DEGREE       DF",196
BLACK,"FAILURE TO APPEAR, SECOND DEGREE      AM",255
BLACK,INJURY OR RISK OF INJURY TO MINOR      F,285
BLACK,OTHERS,3196
BLACK,"ROBBERY, FIRST DEGREE                 BF",87
BLACK,VIOLATION OF PROBATION OR COND DISCHG,878
HISPANIC,"ASSAULT, FIRST DEGREE                 BF",52
HISPANIC,"ASSAULT, THIRD DEGREE                 AM",139
HISPANIC,"BURGLARY, THIRD DEGREE                DF",107
HISPANIC,CRIM VIOL OF PROTECTIVE ORDER         DF,205
HISPANIC,CRIMINAL POSSESSION OF A PISTOL       DF,42
HISPANIC,"FAILURE TO APPEAR, FIRST DEGREE       DF",144
HISPANIC,"FAILURE TO APPEAR, SECOND DEGREE      AM",241
HISPANIC,INJURY OR RISK OF INJURY TO MINOR      F,261
HISPANIC,OTHERS,2290
HISPANIC,"ROBBERY, FIRST DEGREE                 BF",57
HISPANIC,VIOLATION OF PROBATION OR COND DISCHG,603
WHITE,"ASSAULT, FIRST DEGREE                 BF",34
WHITE,"ASSAULT, THIRD DEGREE                 AM",202
WHITE,"BURGLARY, THIRD DEGREE                DF",188
WHITE,CRIM VIOL OF PROTECTIVE ORDER         DF,350
WHITE,CRIMINAL POSSESSION OF A PISTOL       DF,24
WHITE,"FAILURE TO APPEAR, FIRST DEGREE       DF",221
WHITE,"FAILURE TO APPEAR, SECOND DEGREE      AM",474
WHITE,INJURY OR RISK OF INJURY TO MINOR      F,167
WHITE,OTHERS,3250
WHITE,"ROBBERY, FIRST DEGREE                 BF",50
WHITE,VIOLATION OF PROBATION OR COND DISCHG,1152
